#x, y, z, milliseconds, timeInMilliseconds
-0.00182994, 0.0718256, -0.670777, 36, 31
0.0305847, 0.119595, -0.465223, 47, 47
-0.00627368, -0.0719235, -0.254584, 48, 48
-0.0101049, -0.194122, 0.0991796, 52, 55
-0.0713329, -0.116085, 0.24026, 43, 40
-0.18821, -0.0668342, 0.444436, 49, 49
-0.196261, -0.00614859, 0.380966, 46, 46
-0.242449, -0.0523343, 0.404764, 49, 49
-0.0574078, -0.186392, 0.145423, 47, 47
0.121585, -0.0707994, -0.0570515, 48, 47
0.381728, -0.102544, 0.0163226, 47, 46
0.147982, -0.0306074, 0.289512, 49, 49
0.101143, -0.0454569, 0.249708, 47, 47
-0.134892, 0.0871764, 0.287686, 49, 48
-0.181502, 0.024789, 0.263512, 48, 49
-0.0879314, -0.100655, 0.169039, 46, 46
0.0295203, -0.217077, 0.146021, 47, 47
0.0367004, -0.201338, 0.130243, 48, 47
-0.000788904, -0.192695, 0.311565, 49, 49
-0.150266, 0.0325574, 0.335028, 47, 47
-0.0625774, -0.00617276, 0.414113, 49, 49
-0.100669, -0.028567, 0.524046, 47, 47
-0.151108, 0.0551677, 0.24805, 48, 50
0.0113635, 0.0296305, -0.0488006, 48, 47
0.133592, -0.0969343, -0.481697, 48, 48
0.140423, -0.136475, -0.544485, 46, 45
0.155596, -0.129717, -0.622832, 49, 49
0.080925, -0.041272, -0.214297, 48, 47
-0.0285351, -0.00999259, -0.136566, 52, 54
-0.127612, 0.10947, 0.154152, 44, 42
-0.127893, -0.015527, 0.0993033, 48, 47
-0.0734056, -0.0552301, 0.0283676, 47, 47
0.0206045, 0.0154298, 0.0211334, 49, 48
-0.0143814, 0.1918, -0.284765, 47, 47
-0.0761012, 0.0602548, -0.238379, 46, 46
-0.146901, -0.00187912, -0.232098, 50, 50
-0.157729, 0.0356414, -0.467548, 47, 51
-0.0165648, -0.0593765, -0.568734, 48, 45
-0.0529619, 0.16046, -0.230117, 47, 47
-0.0200651, 0.0914592, -0.127205, 47, 46
0.0270381, 0.247198, -0.0312178, 48, 49
0.0652745, 0.308856, -0.117566, 49, 49
0.0271268, 0.231378, -0.0239628, 46, 46
-0.121411, 0.139191, 0.0366102, 47, 47
-0.0824758, 0.0533404, -0.00288159, 49, 50
0.090047, 0.0224474, -0.00885144, 48, 48
0.0364546, -0.069356, 0.131141, 47, 47
0.0123633, -0.0858566, 0.0363179, 47, 46
0.0208458, -0.164221, 0.0125467, 48, 47
0.0209389, -0.178831, 0.0198104, 48, 48
-0.0104421, -0.00838408, 0.100443, 49, 49
0.0114551, 0.0615082, -0.0326299, 46, 46
-0.0195764, 0.0991856, -0.0719292, 47, 47
-0.0674454, 0.184789, -0.0717897, 48, 50
-0.00446213, 0.0615521, -0.0327782, 48, 46
0.0274887, 0.0615999, -0.0177557, 48, 48
0.0504649, -0.0634508, -0.0723875, 47, 48
0.00438108, -0.0557147, -0.0261334, 54, 56
-0.00384425, -0.0395549, 0.0131681, 42, 40
0.0516604, -0.0784918, 0.052686, 50, 50
-0.018102, -0.0783493, 0.0520378, 46, 45
0.0438427, -0.0237388, 0.0137188, 49, 50
0.0441666, -0.000256664, 0.0531495, 47, 48
0.0124868, 0.0463857, 0.0764883, 47, 45
0.0202551, 0.0457859, -0.00934102, 48, 48
-0.0190216, 0.0690075, -0.0181373, 48, 47
-0.0195305, 0.0294764, -0.080994, 47, 48
0.0498947, -0.0797596, -0.136314, 48, 47
0.0429821, -0.0329381, -0.0808391, 48, 48
-0.0271053, -0.0321864, 0.0130022, 48, 47
0.0280922, -0.0321456, 0.029467, 49, 49
0.0210185, -0.0160317, 0.0614161, 45, 45
0.098885, -0.00917638, 0.0143299, 49, 49
-0.00308814, 0.0625711, 0.115721, 47, 49
-0.0584879, 0.0929963, 0.0847364, 48, 45
-0.058876, 0.0535928, 0.0366061, 47, 47
0.0346929, 0.0150036, -0.0413219, 49, 49
-0.0508719, 0.0458095, -0.0259547, 46, 46
0.0114633, 0.00648189, -0.0415956, 49, 48
-0.00509376, -0.0477617, -0.120656, 47, 47
0.00387505, -0.0169257, -0.0725037, 47, 47
0.0587927, -0.0636155, -0.0968541, 50, 50
-0.00346642, 0.0304876, 0.0688687, 49, 52
-0.0111558, 0.0620428, 0.037108, 46, 43
-0.073489, 0.0622186, 0.0451192, 46, 47
-0.0266076, 0.00736366, 0.0758584, 48, 48
0.0209118, -0.000208005, 0.0529334, 47, 47
0.0432719, 0.00643898, -0.0413007, 49, 48
-0.121235, 0.162591, 0.0613131, 47, 48
0.0591487, 0.0687863, -0.032138, 48, 47
0.02055, -0.0469377, 0.00598037, 49, 52
0.0735168, -0.126003, -0.104506, 46, 43
0.082025, -0.21903, -0.128377, 49, 49
0.0593339, -0.164759, -0.0582719, 47, 47
0.0669567, -0.0703662, -0.00969967, 48, 49
-0.0425951, -0.0232609, 0.0607757, 47, 49
-0.0112157, 0.0925999, 0.0373156, 50, 47
-0.0588638, 0.0535719, 0.0366067, 46, 47
-0.00365389, 0.100077, 0.0619793, 47, 46
-0.0503014, 0.100048, 0.0455932, 49, 49
0.0202876, 0.108219, 0.00703736, 46, 46
0.019789, -0.0707584, -0.0813135, 49, 48
0.0590918, -0.102552, -0.0725747, 47, 47
-0.0344191, -0.101825, 0.00509485, 48, 50
-0.00464083, -0.00952005, -0.0651701, 47, 45
-0.0436388, 0.10811, -0.0254623, 49, 50
0.0434813, 0.0530955, -0.00907592, 47, 46
-0.0585282, 0.0232674, 0.0683071, 49, 50
0.0285521, -6.81821e-06, 0.0849106, 48, 47
-0.0504323, 0.00696708, 0.0130521, 46, 46
0.0355043, -0.117745, 0.020362, 49, 50
0.0356784, -0.0858136, 0.0451238, 55, 55
-0.00410978, 0.0226641, -0.00236267, 39, 38
0.0347936, -0.0472956, -0.0417467, 47, 47
0.00434022, -0.000659958, -0.0183962, 49, 50
-0.0268362, 0.0157529, 0.0525986, 48, 47
-0.0119568, 0.0993946, -0.0411798, 47, 47
0.0429002, 0.0526694, -0.0716668, 48, 48
-0.0737924, 0.0693227, 0.0132604, 47, 47
-0.0182519, -0.00012991, 0.0525695, 48, 48
-0.0183156, -0.000188007, 0.0452061, 48, 48
0.00464565, -0.0469162, 0.0058329, 47, 46
0.0353895, -0.132501, 0.00553474, 48, 48
-0.0264891, -0.0157895, 0.0842911, 47, 47
0.00497975, 0.0156973, 0.052894, 48, 49
0.0350342, -0.0630143, -0.0185369, 47, 46
-0.0507053, 0.0300503, -0.0101089, 49, 49
0.00409422, 0.00654102, -0.0416655, 46, 46
0.0658593, 0.0059169, -0.112267, 49, 49
0.011191, -0.0169215, -0.0736638, 48, 48
-0.0744147, -0.000830813, -0.06576, 47, 47
-0.0504842, 0.0693498, 0.0208393, 48, 48
-0.0501838, -0.0233834, 0.0361611, 47, 47
0.0124024, -0.0784199, 0.0449572, 50, 50
-0.010437, -0.0621874, 0.0914861, 45, 47
0.0352795, 0.0154201, 0.0212692, 50, 48
-0.0181316, 0.0158625, 0.0686322, 49, 52
0.0350938, 0.038549, 0.00669953, 46, 42
0.00421747, 0.0298373, -0.0255519, 47, 47
0.0272463, -0.055988, -0.0651915, 48, 47
0.0112615, 0.0296105, -0.0573929, 55, 63
0.0659834, -0.0172458, -0.103834, 40, 32
-0.0592389, 0.0153921, -0.0102879, 51, 51
-0.0117474, -0.0239993, -0.0420203, 45, 44
0.0278479, -0.0164206, 0.00625704, 50, 50
0.0202271, 0.00665756, -0.0181991, 46, 46
-0.0815062, 0.0394028, 0.100109, 50, 49
-0.0110328, -0.0161304, 0.0365749, 46, 47
-0.0107886, -0.0318555, 0.0597849, 47, 47
-0.0340537, -0.023262, 0.0596273, 47, 48
-0.0822355, 0.0303133, 0.0202775, 48, 47
-0.0115881, 0.00671164, -0.0184944, 48, 49
0.0204956, -0.0163902, 0.00618828, 48, 47
0.0112398, -0.0474594, -0.0738721, 49, 49
0.0043978, 0.0458944, -0.00212613, 46, 46
-0.0200529, -0.0090876, -0.0100916, 50, 51
-0.0200254, 0.0153961, -0.00256148, 46, 45
0.0205123, -0.0322551, 0.0060795, 48, 49
0.0596778, 0.00681263, 0.0140733, 47, 48
0.0204743, -0.000517515, 0.0062968, 48, 47
-0.010796, -0.0318429, 0.0597845, 47, 48
-0.0181721, -7.14269e-05, 0.0611604, 51, 51
-0.0662285, 0.0536234, 0.0365374, 45, 44
-0.0346301, -0.023696, -0.00296334, 46, 47
-0.0110603, 0.0768602, 0.0531609, 49, 50
0.0271057, 0.0222159, -0.0646594, 55, 56
-0.00470886, -0.0242167, -0.0738618, 39, 38
0.0113057, -0.000919444, -0.0576015, 47, 47
-0.0206306, -0.0560052, -0.0815894, 49, 49
-0.0045363, 0.0064995, -0.0491085, 48, 49
-0.00414119, 0.0300271, -0.00231385, 46, 46
0.0511969, -0.000459643, 0.0213077, 49, 49
