#x, y, z, milliseconds, timeInMilliseconds
409.65, 429.45, -55.2, 220, 220
409.95, 431.85, -55.65, 230, 230
408.45, 430.2, -57, 209, 208
408.9, 430.2, -56.25, 220, 220
407.85, 429.6, -55.35, 219, 219
409.95, 430.35, -57.3, 219, 219
407.25, 430.95, -56.7, 220, 221
407.25, 430.2, -57, 219, 219
407.25, 430.95, -56.25, 220, 221
408.3, 430.8, -56.1, 218, 218
409.35, 430.95, -55.5, 219, 219
407.85, 431.55, -56.85, 229, 230
408.75, 431.1, -56.4, 211, 211
408.15, 429.75, -56.25, 220, 219
408.9, 430.95, -55.2, 218, 218
407.55, 431.55, -57.6, 220, 221
408.15, 429, -56.25, 219, 219
409.65, 431.25, -55.95, 220, 219
408.9, 430.2, -57, 221, 220
409.05, 427.95, -56.85, 218, 218
409.35, 430.5, -57.45, 219, 219
407.85, 430.35, -55.35, 228, 229
407.25, 429.45, -57, 212, 211
408.45, 429.75, -55.5, 223, 223
407.1, 431.55, -55.65, 216, 217
408.3, 430.35, -57.6, 219, 219
407.1, 429.9, -56.4, 220, 220
408.3, 430.8, -56.1, 220, 220
408.45, 429.75, -55.95, 220, 220
407.85, 428.85, -54.9, 219, 219
407.55, 429.9, -56.4, 220, 220
408.15, 430.2, -56.7, 228, 229
408.45, 430.2, -57, 211, 210
409.35, 430.5, -56.25, 220, 219
407.7, 431.25, -55.95, 219, 219
409.05, 429.9, -56.1, 219, 219
411, 430.35, -56.1, 220, 220
406.65, 429.15, -57.3, 220, 220
409.05, 429.9, -56.1, 220, 220
407.7, 430.2, -56.7, 219, 219
409.05, 429.9, -55.35, 220, 220
407.85, 431.1, -56.4, 228, 230
410.1, 429.75, -57, 210, 209
407.85, 429.6, -56.4, 220, 220
407.85, 429.15, -57.3, 219, 219
408.3, 429.6, -56.1, 220, 220
409.35, 431.25, -56.7, 219, 220
408.75, 429.6, -54.9, 220, 220
407.7, 430.2, -56.25, 220, 220
408.15, 429.45, -57.75, 218, 218
408.15, 430.95, -56.7, 220, 220
408.15, 431.25, -56.25, 228, 228
408.3, 430.35, -56.1, 213, 212
407.25, 430.95, -56.7, 219, 219
407.55, 430.8, -56.85, 221, 221
409.35, 429.75, -55.95, 217, 217
409.05, 431.1, -56.1, 219, 219
408.75, 429.9, -57.3, 220, 220
408.45, 430.5, -57, 220, 220
409.5, 430.35, -56.1, 219, 219
408.75, 431.85, -56.4, 220, 220
406.5, 430.5, -57, 219, 219
408.45, 429.75, -57.45, 219, 220
407.25, 429.75, -56.7, 221, 221
408.15, 431.25, -55.5, 218, 218
408.9, 431.7, -57, 219, 219
408.45, 430.5, -55.95, 220, 220
407.7, 430.95, -56.7, 220, 220
408.9, 431.25, -55.95, 220, 220
409.65, 430.95, -56.7, 221, 220
407.85, 428.85, -56.1, 218, 218
407.7, 430.2, -54.3, 230, 231
408.45, 430.95, -55.95, 209, 208
407.25, 429.45, -56.25, 220, 220
408.75, 429.6, -56.1, 219, 219
408.3, 430.8, -56.4, 220, 220
407.85, 429.6, -56.1, 219, 219
407.55, 429.15, -56.1, 220, 220
409.95, 429.15, -58.35, 220, 220
408.45, 430.95, -54.75, 219, 219
407.1, 430.8, -56.1, 220, 220
407.85, 428.4, -56.4, 228, 228
407.55, 430.8, -56.4, 211, 210
408.15, 429.75, -56.7, 222, 223
408.45, 430.2, -55.5, 219, 219
408.15, 429.75, -57.45, 217, 217
408.9, 430.95, -57, 219, 220
407.55, 429.6, -56.85, 220, 220
408.75, 429.9, -57.6, 220, 220
407.1, 430.8, -56.85, 219, 218
408.9, 430.2, -56.25, 220, 220
408.3, 430.35, -56.85, 219, 219
407.55, 429.9, -55.65, 219, 219
409.35, 432.15, -55.95, 220, 221
407.55, 430.8, -56.4, 219, 219
408.9, 429.45, -57, 219, 220
408.3, 430.35, -56.4, 220, 220
410.1, 429, -55.5, 219, 219
408.45, 430.2, -55.5, 220, 220
408.3, 430.35, -54.9, 219, 219
407.1, 431.1, -58.05, 220, 220
408.75, 429.6, -56.4, 226, 228
408.75, 430.35, -56.85, 213, 212
409.5, 430.8, -55.35, 220, 220
407.25, 430.5, -56.7, 219, 218
408.75, 431.55, -57.3, 220, 221
408.3, 429.6, -56.1, 219, 219
408.15, 429.75, -56.7, 220, 220
407.55, 430.8, -56.4, 220, 220
409.05, 429.15, -54.6, 219, 219
407.55, 429.15, -57.6, 219, 219
409.5, 430.35, -56.1, 221, 222
408.45, 430.2, -55.95, 221, 219
408.9, 430.95, -57, 218, 218
409.05, 429.15, -56.4, 221, 221
408.45, 430.95, -58.2, 218, 217
407.85, 429.9, -56.85, 219, 220
408.15, 431.25, -56.7, 222, 221
407.85, 430.8, -56.85, 218, 219
406.95, 428.55, -55.5, 219, 220
408.75, 430.8, -56.1, 219, 219
408.45, 430.95, -55.95, 220, 219
406.95, 430.2, -57.45, 219, 219
408.15, 429.75, -57, 220, 220
409.35, 431.25, -55.5, 219, 219
407.55, 430.35, -57.3, 220, 221
408.15, 431.7, -56.25, 220, 220
408.3, 428.85, -57.6, 219, 218
408.9, 431.25, -56.7, 220, 221
408.75, 429.6, -56.4, 220, 220
408.75, 430.35, -56.4, 218, 218
407.85, 431.1, -55.65, 228, 230
409.35, 430.95, -56.25, 211, 209
407.85, 430.35, -56.85, 220, 220
406.95, 429.75, -56.7, 219, 219
408.75, 431.1, -54.9, 219, 219
409.95, 429.9, -58.05, 219, 219
409.35, 431.7, -55.95, 220, 220
408.15, 429.75, -56.7, 220, 220
408.45, 430.2, -56.7, 219, 218
407.7, 430.5, -57, 220, 220
409.05, 430.35, -56.1, 228, 229
407.85, 431.55, -56.1, 211, 209
408.75, 430.35, -57.3, 221, 221
409.65, 428.25, -56.25, 220, 220
408.9, 430.2, -57.75, 218, 218
406.65, 430.8, -58.05, 219, 219
409.65, 431.7, -55.95, 220, 220
408.3, 430.8, -54.9, 220, 220
406.65, 428.85, -56.1, 219, 219
408.15, 430.95, -56.25, 220, 220
408.15, 430.2, -57.45, 231, 232
407.85, 429.9, -55.35, 208, 207
408.45, 430.2, -56.25, 220, 220
408.3, 430.8, -56.1, 219, 219
408.3, 430.35, -54.15, 219, 220
409.35, 429.75, -56.25, 221, 221
407.85, 429.9, -57.6, 219, 219
409.65, 429.45, -56.7, 220, 219
407.1, 430.35, -56.85, 221, 221
408.9, 430.2, -55.5, 218, 218
408.45, 430.95, -56.25, 229, 230
409.65, 429.75, -56.25, 210, 209
408.3, 429.9, -57.3, 220, 220
407.25, 430.95, -56.7, 219, 218
408.3, 431.55, -57.3, 220, 220
407.85, 433.05, -56.4, 219, 219
407.25, 430.2, -56.7, 219, 220
408.15, 430.95, -55.95, 220, 220
408.15, 430.2, -56.25, 219, 219
407.85, 429.6, -56.85, 219, 220
408.3, 429.9, -57.6, 228, 229
408.9, 430.2, -56.7, 211, 210
408.75, 429.6, -56.1, 220, 219
408.75, 431.55, -56.1, 221, 221
