#x, y, z, sqrtSum, milliseconds, timeInMilliseconds
9.83349, -0.715861, -0.190672, 9.86135, 85, 85
9.91801, -0.742159, -0.211105, 9.94798, 86, 86
9.89558, -0.780475, -0.211081, 9.92855, 82, 81
9.80356, -0.74366, -0.174055, 9.83327, 83, 84
9.73957, -0.8141, -0.207932, 9.77574, 86, 85
9.70186, -0.775211, -0.176973, 9.73439, 84, 84
9.78937, -0.777467, -0.190626, 9.82204, 83, 83
9.81852, -0.769956, -0.17859, 9.85028, 83, 83
9.84771, -0.746664, -0.207269, 9.87815, 85, 85
9.84771, -0.76695, -0.208022, 9.87972, 85, 85
9.80433, -0.763193, -0.19441, 9.83591, 90, 90
9.79836, -0.786482, -0.209482, 9.83211, 76, 76
9.79188, -0.757005, -0.177828, 9.82271, 85, 85
9.79161, -0.758685, -0.188367, 9.82276, 85, 84
9.7804, -0.767699, -0.194388, 9.81241, 82, 82
9.79236, -0.767701, -0.188367, 9.82421, 86, 86
10.1354, -0.723942, -0.415657, 10.1697, 82, 82
9.63683, -0.806009, -0.210085, 9.67276, 84, 85
9.7408, -0.778964, -0.238834, 9.77482, 83, 83
9.71503, -0.824226, -0.164149, 9.75131, 83, 83
9.9367, -0.721124, -0.204338, 9.96493, 85, 85
9.87087, -0.75944, -0.183163, 9.90174, 83, 83
9.79834, -0.781225, -0.184602, 9.83116, 85, 85
9.71087, -0.809769, -0.210153, 9.74684, 82, 82
9.71433, -0.788158, -0.218436, 9.74869, 85, 86
9.89118, -0.798499, -0.306831, 9.9281, 85, 84
9.45952, -0.856348, -0.110395, 9.49884, 83, 84
9.92143, -0.792679, -0.171129, 9.95452, 83, 83
9.58342, -0.771627, -0.174587, 9.61602, 85, 86
9.90581, -0.700259, -0.259336, 9.93391, 89, 89
9.9035, -0.764878, -0.189209, 9.93479, 79, 78
9.92671, -0.725057, -0.217885, 9.95554, 83, 83
9.92553, -0.676039, -0.260126, 9.95193, 85, 84
9.77589, -0.762442, -0.171765, 9.80708, 84, 84
9.7692, -0.783475, -0.213225, 9.80288, 83, 83
9.76619, -0.747413, -0.199654, 9.79679, 83, 83
9.84294, -0.7799, -0.203477, 9.87588, 86, 85
9.8851, -0.729386, -0.208059, 9.91416, 83, 84
9.86267, -0.751924, -0.207283, 9.89346, 84, 85
9.78164, -0.782901, -0.227547, 9.81556, 82, 81
9.75917, -0.762617, -0.194353, 9.79085, 85, 86
9.73001, -0.807695, -0.195076, 9.76542, 84, 84
9.76963, -0.755857, -0.181546, 9.80051, 83, 83
9.84518, -0.771636, -0.202726, 9.87745, 83, 83
9.83173, -0.767127, -0.213269, 9.86392, 85, 85
9.8392, -0.766376, -0.209506, 9.87123, 83, 83
9.81602, -0.765624, -0.210993, 9.8481, 84, 85
9.79986, -0.760186, -0.21024, 9.83154, 83, 83
9.8111, -0.769951, -0.237392, 9.84413, 85, 85
9.76065, -0.745338, -0.178523, 9.7907, 82, 82
9.81854, -0.760188, -0.199702, 9.84995, 84, 84
9.84143, -0.761118, -0.193676, 9.87272, 83, 84
9.85519, -0.744411, -0.205769, 9.88541, 85, 85
9.85642, -0.772386, -0.230633, 9.88933, 83, 82
9.76737, -0.726557, -0.161944, 9.79569, 85, 85
9.75245, -0.836245, -0.204896, 9.79039, 83, 83
9.73673, -0.750596, -0.187548, 9.76742, 85, 84
9.77967, -0.790237, -0.21248, 9.81384, 83, 82
9.82796, -0.78441, -0.179336, 9.86084, 85, 85
9.84444, -0.748344, -0.212529, 9.87513, 83, 84
9.83847, -0.759613, -0.224586, 9.87031, 86, 85
